"Participant.ID","CorA","Age","Grade","Gender","POCAAbsError","POUAAbsError","LengthAbsError","AngleAbsError","AreaAbsError","Mean_POCAAbsError","Mean_POUAAbsError","Mean_LengthAbsError","Mean_AngleAbsError"
0,"Child",8,2,"Male","[3, 8, 0, 0, 5, 0, 5, 0, 5, 0, 10, 5, 10, 5, 10, 0, 5, 15, 0]","[5, 5, 25, 5, 5, 5, 10, 10, 15, 0, 5, 0, 15, 10, 5, 10, 4, 10, 5]","[5, 5, 5, 5, 4, 10, 5, 10, 0, 0, 5, 5, 10, 5, 5, 15, 0, 5, 5]","[10, 15, 10, 5, 5, 0, 5, 15, 15, 5, 45, 20, 4, 15, 5, 15, 30, 10, 60]",7.10526315789474,4.52631578947368,7.84210526315789,5.47368421052632,15.2105263157895
1,"Child",10,4,"Female","[5, 7, 6, 5, 5, 4, 6, 8, 2, 2, 3, 9, 4, 1, 4, 12, 2, 2, 6]","[2, 1, 5, 11, 0, 1, 5, 0, 5, 0, 7, 0, 5, 3, 5, 10, 5, 5, 0]","[0, 0, 5, 0, 5, 0, 5, 1, 3, 0, 10, 10, 4, 4, 4, 8, 10, 6, 2]","[2, 18, 9, 5, 0, 4, 0, 0, 5, 5, 15, 5, 28, 5, 1, 15, 1, 5, 5]",9.47368421052632,4.89473684210526,3.68421052631579,4.05263157894737,6.73684210526316
2,"Child",10,4,"Female","[0, 0, 0, 5, 0, 2, 0, 0, 5, 5, 0, 6, 5, 10, 8, 1, 1, 5, 5]","[10, 10, 20, 5, 5, 10, 10, 15, 5, 10, 5, 5, 5, 5, 5, 10, 10, 15, 5]","[5, 5, 15, 10, 5, 10, 5, 5, 5, 0, 5, 3, 3, 5, 10, 4, 10, 0, 26]","[5, 23, 9, 28, 5, 10, 5, 15, 5, 10, 7, 15, 5, 13, 15, 2, 20, 5, 0]",11.6315789473684,3.05263157894737,8.68421052631579,6.89473684210526,10.3684210526316
3,"Child",11,5,"Female","[1, 6, 3, 2, 12, 6, 7, 5, 3, 16, 4, 11, 0, 4, 5, 3, 2, 3, 4]","[5, 2, 3, 4, 1, 3, 6, 8, 1, 0, 10, 3, 2, 1, 3, 3, 4, 2, 6]","[6, 2, 5, 0, 4, 2, 4, 4, 11, 1, 2, 16, 1, 11, 2, 5, 0, 1, 3]","[3, 5, 4, 8, 2, 18, 4, 6, 13, 12, 3, 23, 7, 13, 5, 10, 4, 2, 14]",4.63157894736842,5.10526315789474,3.52631578947368,4.21052631578947,8.21052631578947
4,"Child",10,4,"Male","[0, 7, 15, 2, 0, 4, 6, 1, 1, 5, 3, 1, 8, 10, 2, 10, 5, 18, 5]","[10, 12, 1, 0, 11, 8, 12, 8, 2, 12, 5, 8, 2, 5, 2, 1, 0, 1, 0]","[5, 25, 10, 0, 15, 5, 5, 2, 2, 3, 1, 3, 15, 2, 18, 3, 0, 3, 5]","[10, 5, 10, 6, 3, 5, 15, 17, 2, 28, 1, 3, 10, 18, 7, 10, 7, 2, 6]",12,5.42105263157895,5.26315789473684,6.42105263157895,8.68421052631579
5,"Child",11,5,"Male","[0, 0, 10, 5, 5, 0, 5, 5, 5, 5, 15, 5, 5, 0, 0, 10, 0, 0, 5]","[10, 0, 5, 15, 5, 5, 5, 0, 5, 5, 5, 0, 5, 5, 10, 10, 5, 5, 3]","[0, 0, 0, 5, 0, 0, 6, 0, 15, 5, 5, 5, 5, 0, 10, 5, 5, 10, 0]","[35, 0, 9, 15, 10, 10, 5, 0, 5, 1, 15, 10, 5, 4, 3, 5, 0, 5, 25]",7.36842105263158,4.21052631578947,5.42105263157895,4,8.52631578947368
6,"Child",10,4,"Male","[7, 13, 7, 0, 3, 4, 3, 11, 6, 2, 2, 3, 1, 9, 7, 4, 5, 4, 9]","[0, 10, 5, 0, 0, 5, 5, 10, 10, 0, 5, 5, 15, 2, 6, 3, 0, 6, 17]","[4, 4, 2, 1, 1, 1, 1, 7, 1, 14, 2, 1, 4, 2, 0, 7, 2, 6, 8]","[3, 16, 4, 3, 11, 9, 2, 18, 31, 7, 26, 4, 9, 1, 4, 11, 2, 19, 4]",18.5789473684211,5.26315789473684,5.47368421052632,3.57894736842105,9.68421052631579
7,"Child",10,4,"Male","[5, 5, 0, 5, 3, 8, 5, 0, 5, 38, 0, 5, 0, 0, 5, 0, 0, 5, 0]","[5, 3, 15, 5, 0, 10, 5, 0, 5, 5, 5, 5, 5, 10, 5, 5, 10, 0, 20]","[5, 5, 5, 1, 0, 5, 5, 5, 5, 5, 0, 5, 0, 5, 5, 2, 0, 5, 10]","[0, 5, 10, 10, 5, 4, 5, 5, 15, 5, 5, 15, 0, 5, 5, 0, 2, 20, 0]",6.57894736842105,4.68421052631579,6.21052631578947,3.84210526315789,6.10526315789474
9,"Child",9,3,"Female","[5, 10, 10, 0, 4, 10, 5, 5, 5, 10, 5, 5, 5, 10, 5, 0, 0, 0, 5]","[4, 20, 25, 15, 5, 15, 15, 10, 15, 10, 12, 10, 10, 9, 5, 5, 0, 10, 10]","[10, 0, 10, 0, 0, 10, 5, 10, 0, 10, 5, 5, 5, 5, 0, 0, 5, 0, 5]","[20, 45, 10, 5, 0, 5, 5, 10, 25, 0, 5, 30, 5, 25, 45, 20, 16, 5, 5]",8.68421052631579,5.21052631578947,10.7894736842105,4.47368421052632,14.7894736842105
10,"Child",10,4,"Female","[0, 0, 0, 5, 5, 0, 0, 5, 5, 0, 5, 0, 5, 5, 5, 0, 5, 10, 5]","[5, 15, 5, 10, 5, 0, 15, 4, 25, 0, 10, 10, 5, 5, 10, 30, 0, 5, 10]","[5, 0, 10, 5, 10, 10, 10, 10, 15, 1, 10, 6, 5, 10, 15, 15, 15, 15, 15]","[45, 45, 15, 15, 4, 15, 10, 30, 15, 0, 0, 0, 10, 10, 10, 20, 5, 45, 0]",12.0526315789474,3.15789473684211,8.89473684210526,9.57894736842105,15.4736842105263
