,Participant.ID,CorA,Age,Grade,Gender,POCAAbsError,POUAAbsError,LengthAbsError,AngleAbsError,AreaAbsError
1,0,Child,8,2,Male,"c(3, 8, 0, 0, 5, 0, 5, 0, 5, 0, 10, 5, 10, 5, 10, 0, 5, 15, 0)","c(5, 5, 25, 5, 5, 5, 10, 10, 15, 0, 5, 0, 15, 10, 5, 10, 4, 10, 5)","c(5, 5, 5, 5, 4, 10, 5, 10, 0, 0, 5, 5, 10, 5, 5, 15, 0, 5, 5)","c(10, 15, 10, 5, 5, 0, 5, 15, 15, 5, 45, 20, 4, 15, 5, 15, 30, 10, 60)","c(5, 5, 5, 15, 15, 10, 5, 5, 0, 5, 0, 10, 5, 15, 10, 5, 0, 15, 5)"
2,1,Child,10,4,Female,"c(5, 7, 6, 5, 5, 4, 6, 8, 2, 2, 3, 9, 4, 1, 4, 12, 2, 2, 6)","c(2, 1, 5, 11, 0, 1, 5, 0, 5, 0, 7, 0, 5, 3, 5, 10, 5, 5, 0)","c(0, 0, 5, 0, 5, 0, 5, 1, 3, 0, 10, 10, 4, 4, 4, 8, 10, 6, 2)","c(2, 18, 9, 5, 0, 4, 0, 0, 5, 5, 15, 5, 28, 5, 1, 15, 1, 5, 5)","c(5, 5, 13, 4, 3, 0, 12, 5, 1, 9, 18, 7, 13, 19, 9, 23, 12, 8, 14)"
3,2,Child,10,4,Female,"c(0, 0, 0, 5, 0, 2, 0, 0, 5, 5, 0, 6, 5, 10, 8, 1, 1, 5, 5)","c(10, 10, 20, 5, 5, 10, 10, 15, 5, 10, 5, 5, 5, 5, 5, 10, 10, 15, 5)","c(5, 5, 15, 10, 5, 10, 5, 5, 5, 0, 5, 3, 3, 5, 10, 4, 10, 0, 26)","c(5, 23, 9, 28, 5, 10, 5, 15, 5, 10, 7, 15, 5, 13, 15, 2, 20, 5, 0)","c(10, 10, 23, 5, 15, 10, 21, 20, 15, 5, 25, 10, 5, 15, 0, 0, 15, 10, 7)"
4,3,Child,11,5,Female,"c(1, 6, 3, 2, 12, 6, 7, 5, 3, 16, 4, 11, 0, 4, 5, 3, 2, 3, 4)","c(5, 2, 3, 4, 1, 3, 6, 8, 1, 0, 10, 3, 2, 1, 3, 3, 4, 2, 6)","c(6, 2, 5, 0, 4, 2, 4, 4, 11, 1, 2, 16, 1, 11, 2, 5, 0, 1, 3)","c(3, 5, 4, 8, 2, 18, 4, 6, 13, 12, 3, 23, 7, 13, 5, 10, 4, 2, 14)","c(8, 3, 9, 4, 8, 0, 0, 5, 3, 13, 4, 2, 8, 2, 3, 4, 6, 3, 3)"
5,4,Child,10,4,Male,"c(0, 7, 15, 2, 0, 4, 6, 1, 1, 5, 3, 1, 8, 10, 2, 10, 5, 18, 5)","c(10, 12, 1, 0, 11, 8, 12, 8, 2, 12, 5, 8, 2, 5, 2, 1, 0, 1, 0)","c(5, 25, 10, 0, 15, 5, 5, 2, 2, 3, 1, 3, 15, 2, 18, 3, 0, 3, 5)","c(10, 5, 10, 6, 3, 5, 15, 17, 2, 28, 1, 3, 10, 18, 7, 10, 7, 2, 6)","c(11, 40, 17, 25, 7, 10, 5, 18, 11, 4, 16, 18, 12, 0, 3, 11, 1, 11, 8)"
6,5,Child,11,5,Male,"c(0, 0, 10, 5, 5, 0, 5, 5, 5, 5, 15, 5, 5, 0, 0, 10, 0, 0, 5)","c(10, 0, 5, 15, 5, 5, 5, 0, 5, 5, 5, 0, 5, 5, 10, 10, 5, 5, 3)","c(0, 0, 0, 5, 0, 0, 6, 0, 15, 5, 5, 5, 5, 0, 10, 5, 5, 10, 0)","c(35, 0, 9, 15, 10, 10, 5, 0, 5, 1, 15, 10, 5, 4, 3, 5, 0, 5, 25)","c(10, 4, 2, 0, 5, 3, 0, 5, 0, 7, 10, 25, 10, 5, 5, 4, 15, 15, 15)"
7,6,Child,10,4,Male,"c(7, 13, 7, 0, 3, 4, 3, 11, 6, 2, 2, 3, 1, 9, 7, 4, 5, 4, 9)","c(0, 10, 5, 0, 0, 5, 5, 10, 10, 0, 5, 5, 15, 2, 6, 3, 0, 6, 17)","c(4, 4, 2, 1, 1, 1, 1, 7, 1, 14, 2, 1, 4, 2, 0, 7, 2, 6, 8)","c(3, 16, 4, 3, 11, 9, 2, 18, 31, 7, 26, 4, 9, 1, 4, 11, 2, 19, 4)","c(13, 25, 14, 31, 10, 15, 1, 17, 26, 21, 36, 38, 8, 24, 23, 2, 25, 3, 21)"
8,7,Child,10,4,Male,"c(5, 5, 0, 5, 3, 8, 5, 0, 5, 38, 0, 5, 0, 0, 5, 0, 0, 5, 0)","c(5, 3, 15, 5, 0, 10, 5, 0, 5, 5, 5, 5, 5, 10, 5, 5, 10, 0, 20)","c(5, 5, 5, 1, 0, 5, 5, 5, 5, 5, 0, 5, 0, 5, 5, 2, 0, 5, 10)","c(0, 5, 10, 10, 5, 4, 5, 5, 15, 5, 5, 15, 0, 5, 5, 0, 2, 20, 0)","c(0, 5, 10, 5, 5, 5, 5, 5, 5, 5, 10, 0, 10, 5, 7, 15, 5, 13, 10)"
9,9,Child,9,3,Female,"c(5, 10, 10, 0, 4, 10, 5, 5, 5, 10, 5, 5, 5, 10, 5, 0, 0, 0, 5)","c(4, 20, 25, 15, 5, 15, 15, 10, 15, 10, 12, 10, 10, 9, 5, 5, 0, 10, 10)","c(10, 0, 10, 0, 0, 10, 5, 10, 0, 10, 5, 5, 5, 5, 0, 0, 5, 0, 5)","c(20, 45, 10, 5, 0, 5, 5, 10, 25, 0, 5, 30, 5, 25, 45, 20, 16, 5, 5)","c(0, 15, 0, 10, 20, 5, 5, 10, 5, 5, 15, 10, 25, 20, 5, 10, 0, 5, 0)"
10,10,Child,10,4,Female,"c(0, 0, 0, 5, 5, 0, 0, 5, 5, 0, 5, 0, 5, 5, 5, 0, 5, 10, 5)","c(5, 15, 5, 10, 5, 0, 15, 4, 25, 0, 10, 10, 5, 5, 10, 30, 0, 5, 10)","c(5, 0, 10, 5, 10, 10, 10, 10, 15, 1, 10, 6, 5, 10, 15, 15, 15, 15, 15)","c(45, 45, 15, 15, 4, 15, 10, 30, 15, 0, 0, 0, 10, 10, 10, 20, 5, 45, 0)","c(14, 15, 30, 20, 5, 0, 0, 10, 10, 20, 5, 15, 5, 15, 0, 25, 5, 10, 25)"
